cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,Floor[1]_OAT_K,Floor[2]_OAT_K,Floor[3]_OAT_K,TempProf_cur[2.62],TempProf_cur[6.58],TempProf_cur[10.54],PresProf_cur[2.62],PresProf_cur[6.58],PresProf_cur[10.54],
2006-06-01 03:50:00,291.373,291.134,0.000,291.027,291.034,291.167,291.033,99383.333,291.415,291.374,291.352,291.398,291.357,291.341,99579.414,99532.692,99485.982,
2006-06-01 03:55:00,291.383,291.089,0.000,291.042,291.049,291.177,290.992,99391.667,291.424,291.384,291.362,291.407,291.367,291.351,99579.444,99532.724,99486.015,
2006-06-01 04:00:00,291.391,291.043,0.000,291.035,291.041,291.148,290.950,99400.000,291.432,291.392,291.370,291.415,291.376,291.359,99579.474,99532.755,99486.047,
2006-06-01 04:05:00,291.342,290.877,0.000,291.019,291.025,291.114,290.808,99400.000,291.385,291.343,291.319,291.368,291.325,291.306,99579.531,99532.804,99486.088,
2006-06-01 04:10:00,291.339,290.715,0.000,290.998,291.003,291.081,290.667,99400.000,291.382,291.340,291.317,291.365,291.323,291.304,99579.570,99532.842,99486.126,
2006-06-01 04:15:00,291.285,290.556,0.000,290.972,290.978,291.045,290.525,99400.000,291.331,291.287,291.261,291.313,291.268,291.246,99579.630,99532.894,99486.169,
2006-06-01 04:20:00,291.276,290.398,0.000,291.092,291.186,291.079,290.383,99400.000,291.321,291.278,291.253,291.303,291.259,291.240,99579.674,99532.936,99486.209,
2006-06-01 04:25:00,291.337,290.242,0.000,291.138,291.231,291.052,290.242,99400.000,291.379,291.337,291.316,291.361,291.321,291.305,99579.690,99532.962,99486.245,
2006-06-01 04:30:00,291.245,290.085,0.000,291.197,291.307,291.039,290.100,99400.000,291.294,291.248,291.219,291.276,291.226,291.202,99579.769,99533.026,99486.294,
2006-06-01 04:35:00,291.387,289.928,0.000,291.259,291.384,291.024,289.958,99400.000,291.440,291.387,291.360,291.417,291.366,291.346,99579.756,99533.036,99486.326,
2006-06-01 04:40:00,291.086,289.772,0.000,291.324,291.460,291.006,289.817,99400.000,291.143,291.092,291.056,291.125,291.066,291.033,99579.918,99533.151,99486.392,
2006-06-01 04:45:00,291.561,289.616,0.000,291.392,291.535,290.983,289.675,99400.000,291.596,291.558,291.544,291.578,291.546,291.540,99579.776,99533.083,99486.403,
2006-06-01 04:50:00,290.590,289.462,0.000,291.462,291.608,290.959,289.533,99400.000,290.665,290.603,290.551,290.645,290.566,290.511,99580.211,99533.365,99486.524,
2006-06-01 04:55:00,292.458,289.308,0.000,291.533,291.676,290.932,289.392,99400.000,292.447,292.442,292.465,292.438,292.456,292.494,99579.516,99532.964,99486.434,
2006-06-01 05:00:00,288.409,289.155,99.883,291.562,291.697,290.818,289.250,99400.000,288.574,288.451,288.322,288.540,288.362,288.215,99581.195,99533.999,99486.792,
2006-06-01 05:05:00,299.289,289.082,191.289,291.573,291.697,290.696,289.208,99408.333,299.082,299.212,299.402,299.113,299.343,299.578,99576.975,99531.478,99486.032,
2006-06-01 05:10:00,275.562,289.010,0.000,291.571,291.683,290.572,289.167,99416.667,276.389,275.804,275.123,276.268,275.347,274.528,99586.806,99537.444,99487.941,
2006-06-01 05:15:00,332.771,288.939,198.379,291.559,291.658,290.445,289.125,99425.000,331.415,332.317,333.497,331.596,333.111,334.568,99565.603,99524.641,99483.879,
2006-06-01 05:20:00,189.888,288.867,0.000,291.540,291.624,290.306,289.083,99433.333,193.888,191.067,187.759,193.233,188.822,184.870,99642.602,99571.322,99498.442,
2006-06-01 05:25:00,619.237,288.797,188.506,291.513,291.583,290.195,289.042,99441.667,610.489,616.134,623.940,611.487,621.374,631.073,99516.666,99494.577,99472.849,
