nmbe, case name is OnlyVCWG_CAPITOUL_WithoutShading_WithoutCooling.csv, height is 20.0, performance is 0.64
cvrmse for Rural_Weather, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 3.0, performance is 7.97
nmbe for Rural_Weather, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 3.0, performance is 3.93
cvrmse for Rural_Weather, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 15.8, performance is 8.09
nmbe for Rural_Weather, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 15.8, performance is 3.43
cvrmse for Rural_Weather, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 22.9, performance is 7.91
nmbe for Rural_Weather, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 22.9, performance is 3.2
cvrmse for Rural_Weather, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 27.8, performance is 8.37
nmbe for Rural_Weather, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 27.8, performance is 1.79
cvrmse for Rural_Weather, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 32.9, performance is 8.58
nmbe for Rural_Weather, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 32.9, performance is 1.01
cvrmse, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 3.0, performance is 10.39
nmbe, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 3.0, performance is -5.83
cvrmse, case name is OnlyVCWG_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 3.0, performance is 9.33
nmbe, case name is OnlyVCWG_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 3.0, performance is -4.62
cvrmse, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 15.8, performance is 9.7
nmbe, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 15.8, performance is -0.41
cvrmse, case name is OnlyVCWG_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 15.8, performance is 9.51
nmbe, case name is OnlyVCWG_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 15.8, performance is -0.43
cvrmse, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 22.9, performance is 10.55
nmbe, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 22.9, performance is 1.29
cvrmse, case name is OnlyVCWG_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 22.9, performance is 10.41
nmbe, case name is OnlyVCWG_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 22.9, performance is 1.28
cvrmse, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 27.8, performance is 10.9
nmbe, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 27.8, performance is 0.69
cvrmse, case name is OnlyVCWG_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 27.8, performance is 10.8
nmbe, case name is OnlyVCWG_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 27.8, performance is 0.67
cvrmse, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 32.9, performance is 11.45
nmbe, case name is ByPass_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 32.9, performance is 0.61
cvrmse, case name is OnlyVCWG_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 32.9, performance is 11.38
nmbe, case name is OnlyVCWG_BUBBLE_UE2_WithoutShading_WithoutCooling.csv, height is 32.9, performance is 0.6
