cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.048],TempProf_cur[6.096],TempProf_cur[9.144],TempProf_cur[12.192],TempProf_cur[15.24],TempProf_cur[18.288],TempProf_cur[21.336],TempProf_cur[24.384],TempProf_cur[27.432],TempProf_cur[30.48],TempProf_cur[33.528],TempProf_cur[36.576],TempProf_cur[39.624],TempProf_cur[42.672],TempProf_cur[45.72],TempProf_cur[48.768],TempProf_cur[51.816],TempProf_cur[54.864],TempProf_cur[57.912],TempProf_cur[60.96],PresProf_cur[3.048],PresProf_cur[6.096],PresProf_cur[9.144],PresProf_cur[12.192],PresProf_cur[15.24],PresProf_cur[18.288],PresProf_cur[21.336],PresProf_cur[24.384],PresProf_cur[27.432],PresProf_cur[30.48],PresProf_cur[33.528],PresProf_cur[36.576],PresProf_cur[39.624],PresProf_cur[42.672],PresProf_cur[45.72],PresProf_cur[48.768],PresProf_cur[51.816],PresProf_cur[54.864],PresProf_cur[57.912],PresProf_cur[60.96],
2006-06-01 01:45:00,292.768,291.595,0.000,293.129,292.159,286.790,291.350,99200.000,293.379,293.252,293.138,293.036,292.945,292.862,292.788,292.721,292.663,292.613,292.571,292.538,292.516,292.504,292.504,292.512,292.527,292.544,292.563,292.600,100887.268,100851.999,100816.723,100781.444,100746.162,100710.878,100675.593,100640.309,100605.026,100569.746,100534.469,100499.196,100463.928,100428.668,100393.415,100358.172,100322.939,100287.717,100252.506,100217.306,
2006-06-01 01:50:00,292.793,291.595,0.000,293.148,292.177,286.909,291.350,99200.000,293.397,293.271,293.159,293.059,292.968,292.886,292.813,292.747,292.690,292.640,292.598,292.566,292.543,292.532,292.531,292.539,292.552,292.569,292.587,292.622,100887.276,100852.009,100816.736,100781.459,100746.180,100710.899,100675.617,100640.336,100605.056,100569.779,100534.505,100499.236,100463.971,100428.714,100393.465,100358.225,100322.995,100287.776,100252.568,100217.371,
2006-06-01 01:55:00,292.815,291.593,0.000,293.087,292.192,287.013,291.350,99200.000,293.412,293.288,293.178,293.079,292.989,292.908,292.836,292.771,292.714,292.664,292.623,292.591,292.568,292.557,292.556,292.563,292.575,292.591,292.609,292.642,100887.288,100852.023,100816.752,100781.478,100746.201,100710.922,100675.643,100640.365,100605.088,100569.814,100534.543,100499.276,100464.015,100428.761,100393.515,100358.278,100323.051,100287.834,100252.629,100217.434,
2006-06-01 02:00:00,292.826,291.592,0.000,293.175,292.204,287.112,291.350,99200.000,293.420,293.297,293.187,293.089,293.000,292.920,292.848,292.784,292.727,292.678,292.636,292.604,292.582,292.570,292.569,292.575,292.587,292.602,292.619,292.652,100887.323,100852.059,100816.789,100781.516,100746.240,100710.963,100675.686,100640.409,100605.134,100569.861,100534.592,100499.327,100464.067,100428.814,100393.570,100358.334,100323.109,100287.894,100252.690,100217.496,
2006-06-01 02:05:00,292.845,291.596,0.000,293.183,292.213,287.197,291.358,99208.333,293.432,293.310,293.202,293.105,293.018,292.939,292.867,292.804,292.747,292.698,292.658,292.625,292.603,292.592,292.590,292.596,292.608,292.622,292.638,292.669,100887.340,100852.077,100816.810,100781.538,100746.264,100710.990,100675.714,100640.440,100605.167,100569.897,100534.630,100499.368,100464.111,100428.860,100393.618,100358.385,100323.162,100287.950,100252.748,100217.557,
2006-06-01 02:10:00,292.861,291.600,0.000,293.191,292.222,287.282,291.367,99216.667,293.441,293.321,293.214,293.119,293.032,292.954,292.884,292.820,292.765,292.716,292.676,292.644,292.622,292.610,292.608,292.614,292.625,292.639,292.654,292.684,100887.363,100852.101,100816.835,100781.565,100746.293,100711.020,100675.746,100640.474,100605.203,100569.935,100534.670,100499.410,100464.155,100428.907,100393.667,100358.437,100323.216,100288.005,100252.805,100217.616,
2006-06-01 02:15:00,292.874,291.603,0.000,293.197,292.229,287.354,291.375,99225.000,293.449,293.330,293.225,293.130,293.045,292.967,292.897,292.835,292.780,292.732,292.691,292.660,292.638,292.626,292.624,292.629,292.640,292.653,292.668,292.697,100887.389,100852.129,100816.863,100781.595,100746.324,100711.052,100675.781,100640.510,100605.241,100569.975,100534.712,100499.453,100464.200,100428.954,100393.716,100358.488,100323.268,100288.060,100252.861,100217.674,
2006-06-01 02:20:00,292.885,291.607,0.000,293.202,292.235,287.426,291.383,99233.333,293.455,293.338,293.233,293.139,293.055,292.978,292.909,292.847,292.792,292.744,292.704,292.673,292.651,292.640,292.638,292.643,292.653,292.666,292.680,292.708,100887.420,100852.160,100816.896,100781.628,100746.359,100711.088,100675.818,100640.549,100605.281,100570.016,100534.755,100499.498,100464.247,100429.002,100393.766,100358.539,100323.321,100288.114,100252.917,100217.731,
2006-06-01 02:25:00,292.895,291.611,0.000,293.205,292.240,287.487,291.392,99241.667,293.460,293.343,293.239,293.147,293.063,292.987,292.918,292.857,292.802,292.755,292.716,292.684,292.663,292.651,292.649,292.654,292.664,292.676,292.690,292.718,100887.454,100852.194,100816.931,100781.664,100746.395,100711.126,100675.857,100640.589,100605.322,100570.059,100534.799,100499.543,100464.293,100429.050,100393.815,100358.589,100323.373,100288.167,100252.971,100217.787,
2006-06-01 02:30:00,292.902,291.616,0.000,293.208,292.244,287.549,291.400,99250.000,293.463,293.347,293.244,293.152,293.069,292.994,292.926,292.865,292.811,292.764,292.725,292.694,292.672,292.661,292.659,292.663,292.673,292.685,292.699,292.725,100887.491,100852.232,100816.969,100781.703,100746.435,100711.166,100675.898,100640.631,100605.365,100570.103,100534.844,100499.589,100464.341,100429.099,100393.865,100358.640,100323.425,100288.220,100253.025,100217.841,
