,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa,MeteoData.Pre,sensWaste_CAPITOUL_WithShading_WithCooling_7_OnlyVCWG_Bueno.csv,MeteoData.Tatm,7_TempProf_cur[20.0],7_PresProf_cur[20.0],7_sensor_idx_20.0
2004-07-01 06:55:00,17.47,17.252,99642.0,100137.667,29.319,17.79200000000003,291.188,100469.822,18.313911133448983
2004-07-01 07:00:00,17.518,17.318,99652.0,100142.0,27.793,17.80000000000001,291.178,100469.827,18.300299064616922
2004-07-01 07:05:00,17.728,17.380000000000003,99660.0,100145.417,28.673,17.775000000000034,291.099,100469.947,18.218481356441316
2004-07-01 07:10:00,17.696,17.394,99672.0,100148.833,26.794,17.75,290.983,100470.091,18.09965208625016
2004-07-01 07:15:00,17.644,17.398000000000003,99674.0,100152.25,27.401,17.725000000000023,290.887,100470.225,18.000834129572354
2004-07-01 07:20:00,17.766,17.48,99678.0,100155.667,25.643,17.700000000000045,290.778,100470.365,17.889011399022877
2004-07-01 07:25:00,17.692,17.596,99692.0,100159.083,26.408,17.67500000000001,290.693,100470.495,17.801204699661355
2004-07-01 07:30:00,17.798,17.654,99692.0,100162.5,24.684,17.650000000000034,290.587,100470.633,17.692387056377186
2004-07-01 07:35:00,17.672,17.744,99694.0,100165.917,25.858,17.625,290.516,100470.755,17.618588711210634
2004-07-01 07:40:00,17.684,17.89,99702.0,100169.333,24.258,17.600000000000023,290.417,100470.891,17.516780158472898
2004-07-01 07:45:00,17.898000000000003,17.896,99704.0,100172.75,25.254,17.575000000000045,290.343,100471.014,17.439983268210085
2004-07-01 07:50:00,17.98,17.966,99706.0,100176.167,23.462,17.55000000000001,290.24,100471.152,17.33417590062419
2004-07-01 07:55:00,17.740000000000002,18.072,99708.0,100179.583,10.935,17.525000000000034,290.166,100471.276,17.257383966693737
2004-07-01 08:00:00,17.798,18.08,99708.0,100183.0,8.498,17.5,290.03,100471.43,17.118566513171743
2004-07-01 08:05:00,18.146,18.148,99710.0,100182.0,9.967,17.567000000000007,289.989,100471.501,17.07841998536321
2004-07-01 08:10:00,18.14,18.252,99712.0,100181.0,9.353,17.633000000000038,289.972,100471.555,17.062279061972845
2004-07-01 08:15:00,18.244,18.318,99712.0,100180.0,12.071,17.700000000000045,290.001,100471.584,17.092155647592506
