Date/Time,EAST:Surface Outside Face Temperature [C](TimeStep),NORTH:Surface Outside Face Temperature [C](TimeStep),SOUTH:Surface Outside Face Temperature [C](TimeStep),WEST:Surface Outside Face Temperature [C](TimeStep),FLOOR:Surface Outside Face Temperature [C](TimeStep),ROOF:Surface Outside Face Temperature [C](TimeStep),THERMAL ZONE 1 INTERNAL MASS:Surface Outside Face Temperature [C](TimeStep),EAST_WINDOW:Surface Outside Face Temperature [C](TimeStep),NORTH_WINDOW:Surface Outside Face Temperature [C](TimeStep),SOUTH_WINDOW:Surface Outside Face Temperature [C](TimeStep),WEST_WINDOW:Surface Outside Face Temperature [C](TimeStep) 
 06/24  14:30:00,27.47300207585838,27.24874677048147,38.41425357095162,55.15355985004088,18.0,48.37392622085817,24.536097060337774,21.74541191844378,21.751615029205254,23.91781617159978,28.95947069258159 
 06/24  14:35:00,27.474252691201656,27.260697085408754,38.03712259432786,55.95290993536302,18.0,48.35000638633309,24.619387810900587,21.769041285215224,21.775540892060803,23.802634547617686,29.135409566486487 
 06/24  14:40:00,27.467618634939402,27.264215660336465,37.62820016214743,56.70537190398003,18.0,48.294757366091126,24.691223705384488,21.754723674214517,21.761185351473898,23.6280666795887,29.243256758764915 
 06/24  14:45:00,27.455600436420426,27.261837321945535,37.1944355087612,57.42346317880195,18.0,48.23689838509464,24.660519454228872,21.72309012868385,21.72948878026392,23.442054685330447,29.34625604900151 
 06/24  14:50:00,27.439390919386206,27.254785783401807,36.739244636541365,58.113125455216725,18.0,48.13436042473647,24.626909678450836,21.696678810720755,21.702956527542597,23.262108182084262,29.457110901355122 
 06/24  14:55:00,27.4196961753283,27.24379547849142,36.264679164435925,58.77779964047586,18.0,48.02953544448503,24.59664165254663,21.673576489534582,21.679636679097825,23.085564266828783,29.571763480934692 
 06/24  15:00:00,27.288715947056208,27.12103674304492,35.75218742911641,59.75147821870029,18.0,47.89169674226702,24.571699984942875,21.597756284144737,21.60355088593201,22.902287805703793,29.847909535628332 
 06/24  15:05:00,27.14504335691236,26.986773305491333,35.12224304308709,60.236121722407944,18.0,47.28686999471389,24.55214103233497,21.551251344220418,21.55655978896317,22.691809837553023,29.849984797796083 
 06/24  15:10:00,26.987672608345633,26.838851175524812,34.44730042320307,60.591024501233804,18.0,46.585992030949924,24.53125806553206,21.506504694589694,21.51122214123717,22.488918624936446,29.84487698485475 
 06/24  15:15:00,26.821344673008014,26.681751307879626,33.74495882839393,60.86523590809768,18.0,45.89687267520029,24.515813574886867,21.464660042467358,21.468736203886465,22.296097692989633,29.841835332311746 
 06/24  15:20:00,26.649631981270684,26.51892781171571,33.02464666988085,61.081362583314295,18.0,45.05850358676129,24.502712496907304,21.424778921985478,21.42817535782376,22.11368513084676,29.83777198494613 
 06/24  15:25:00,26.475044850644068,26.352829276332653,32.292415995628396,61.25259129221096,18.0,44.237654014828664,24.491791627822046,21.386651998368052,21.389350455935585,21.942772801364526,29.838172369218967 
 06/24  15:30:00,26.299362244165348,26.185204708160857,31.55238867844351,61.38712823039818,18.0,43.34301749231804,24.482544559175945,21.34999211121726,21.35199695370602,21.784481177963812,29.824744221492324 
 06/24  15:35:00,26.112251159057976,26.005707430143726,30.79065882502305,61.41182996480834,18.0,42.42185101469995,24.47478882224529,21.308989096872665,21.310327995373314,21.63325496669387,29.776828323281507 
 06/24  15:40:00,25.9223997500781,25.823026384656327,30.022618220280602,61.38567472131179,18.0,41.467438183402486,24.467056656617157,21.303695199721005,21.304498089667277,21.530743441581762,29.775385432495284 
 06/24  15:45:00,25.73230572687596,25.639670311279538,29.253095409961855,61.32050936427527,18.0,40.532786728414536,24.566877607355902,21.29708488729284,21.29743712366644,21.453113713057178,29.77279731945123 
 06/24  15:50:00,25.543379425385638,25.45706443071614,28.485049106455236,61.22278674526039,18.0,39.58912478079412,24.651442458545784,21.28942079526456,21.28941598840788,21.37878513847511,29.753110090297014 
