cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.048],TempProf_cur[6.096],TempProf_cur[9.144],TempProf_cur[12.192],TempProf_cur[15.24],TempProf_cur[18.288],TempProf_cur[21.336],TempProf_cur[24.384],TempProf_cur[27.432],TempProf_cur[30.48],TempProf_cur[33.528],TempProf_cur[36.576],TempProf_cur[39.624],TempProf_cur[42.672],TempProf_cur[45.72],TempProf_cur[48.768],TempProf_cur[51.816],TempProf_cur[54.864],TempProf_cur[57.912],TempProf_cur[60.96],PresProf_cur[3.048],PresProf_cur[6.096],PresProf_cur[9.144],PresProf_cur[12.192],PresProf_cur[15.24],PresProf_cur[18.288],PresProf_cur[21.336],PresProf_cur[24.384],PresProf_cur[27.432],PresProf_cur[30.48],PresProf_cur[33.528],PresProf_cur[36.576],PresProf_cur[39.624],PresProf_cur[42.672],PresProf_cur[45.72],PresProf_cur[48.768],PresProf_cur[51.816],PresProf_cur[54.864],PresProf_cur[57.912],PresProf_cur[60.96],
2006-06-01 01:40:00,295.626,292.458,0.000,296.397,294.452,286.304,291.350,99200.000,295.668,295.577,295.519,295.476,295.444,295.421,295.405,295.396,295.394,295.399,295.413,295.437,295.476,295.534,295.618,295.736,295.903,296.134,296.456,297.068,100883.642,100848.649,100813.656,100778.665,100743.679,100708.698,100673.723,100638.756,100603.797,100568.846,100533.906,100498.976,100464.059,100429.156,100394.270,100359.404,100324.564,100289.755,100254.988,100220.277,
2006-06-01 01:45:00,295.642,292.448,0.000,296.405,294.466,286.458,291.350,99200.000,295.683,295.594,295.538,295.497,295.466,295.444,295.428,295.419,295.417,295.422,295.435,295.458,295.496,295.552,295.633,295.748,295.909,296.134,296.448,297.045,100883.769,100848.777,100813.786,100778.798,100743.814,100708.836,100673.864,100638.899,100603.943,100568.995,100534.057,100499.130,100464.215,100429.314,100394.430,100359.566,100324.727,100289.918,100255.150,100220.438,
2006-06-01 01:50:00,295.656,292.442,0.000,296.413,294.480,286.611,291.350,99200.000,295.696,295.609,295.555,295.515,295.485,295.463,295.448,295.439,295.437,295.441,295.454,295.476,295.513,295.567,295.645,295.757,295.914,296.133,296.439,297.023,100883.897,100848.907,100813.917,100778.931,100743.950,100708.974,100674.004,100639.042,100604.088,100569.142,100534.207,100499.281,100464.368,100429.469,100394.587,100359.724,100324.886,100290.078,100255.309,100220.594,
2006-06-01 01:55:00,295.667,292.433,0.000,296.417,294.490,286.745,291.350,99200.000,295.706,295.622,295.570,295.531,295.502,295.481,295.466,295.457,295.455,295.459,295.470,295.492,295.527,295.580,295.656,295.764,295.918,296.132,296.431,297.002,100884.026,100849.037,100814.050,100779.065,100744.085,100709.111,100674.144,100639.184,100604.232,100569.288,100534.354,100499.431,100464.520,100429.623,100394.741,100359.880,100325.042,100290.234,100255.465,100220.749,
2006-06-01 02:00:00,295.677,292.427,0.000,296.420,294.499,286.873,291.350,99200.000,295.715,295.632,295.582,295.544,295.516,295.495,295.481,295.473,295.470,295.473,295.485,295.506,295.540,295.591,295.665,295.770,295.920,296.129,296.422,296.982,100884.157,100849.169,100814.183,100779.200,100744.221,100709.249,100674.283,100639.325,100604.375,100569.433,100534.501,100499.579,100464.669,100429.773,100394.893,100360.032,100325.195,100290.387,100255.617,100220.899,
2006-06-01 02:05:00,295.684,292.407,0.000,296.419,294.504,286.982,291.358,99208.333,295.721,295.641,295.592,295.555,295.528,295.508,295.494,295.485,295.483,295.486,295.497,295.517,295.550,295.599,295.672,295.775,295.921,296.126,296.413,296.962,100884.290,100849.304,100814.318,100779.336,100744.360,100709.389,100674.424,100639.467,100604.519,100569.578,100534.648,100499.727,100464.819,100429.924,100395.044,100360.184,100325.347,100290.539,100255.768,100221.049,
2006-06-01 02:10:00,295.690,292.391,0.000,296.419,294.509,287.092,291.367,99216.667,295.726,295.647,295.600,295.564,295.538,295.518,295.504,295.496,295.493,295.496,295.506,295.526,295.558,295.606,295.676,295.777,295.920,296.122,296.403,296.943,100884.426,100849.440,100814.456,100779.475,100744.499,100709.529,100674.566,100639.610,100604.662,100569.723,100534.794,100499.874,100464.967,100430.073,100395.194,100360.334,100325.497,100290.689,100255.917,100221.196,
2006-06-01 02:15:00,295.694,292.373,0.000,296.415,294.512,287.186,291.375,99225.000,295.729,295.652,295.606,295.571,295.545,295.526,295.512,295.504,295.501,295.504,295.514,295.533,295.564,295.611,295.680,295.779,295.919,296.116,296.393,296.924,100884.564,100849.578,100814.594,100779.614,100744.639,100709.670,100674.708,100639.753,100604.806,100569.868,100534.939,100500.021,100465.114,100430.221,100395.342,100360.483,100325.646,100290.837,100256.064,100221.342,
2006-06-01 02:20:00,295.696,292.359,0.000,296.412,294.515,287.279,291.383,99233.333,295.730,295.655,295.610,295.576,295.551,295.532,295.519,295.510,295.507,295.510,295.520,295.538,295.568,295.614,295.682,295.779,295.916,296.110,296.383,296.906,100884.703,100849.718,100814.734,100779.755,100744.780,100709.812,100674.850,100639.896,100604.950,100570.012,100535.084,100500.167,100465.260,100430.367,100395.489,100360.629,100325.792,100290.983,100256.209,100221.485,
2006-06-01 02:25:00,295.697,292.343,0.000,296.406,294.516,287.359,291.392,99241.667,295.731,295.656,295.612,295.579,295.555,295.536,295.523,295.515,295.512,295.514,295.524,295.542,295.571,295.616,295.682,295.777,295.913,296.104,296.372,296.888,100884.844,100849.858,100814.875,100779.896,100744.922,100709.954,100674.993,100640.039,100605.093,100570.156,100535.229,100500.311,100465.405,100430.512,100395.634,100360.775,100325.937,100291.127,100256.352,100221.627,
2006-06-01 02:30:00,295.697,292.329,0.000,296.401,294.516,287.438,291.400,99250.000,295.730,295.656,295.613,295.581,295.557,295.539,295.526,295.518,295.515,295.517,295.526,295.543,295.572,295.616,295.681,295.775,295.908,296.096,296.360,296.869,100884.985,100850.000,100815.017,100780.037,100745.064,100710.096,100675.135,100640.182,100605.236,100570.300,100535.372,100500.455,100465.549,100430.656,100395.778,100360.918,100326.080,100291.269,100256.494,100221.766,
2006-06-01 02:35:00,295.695,292.314,0.000,296.393,294.515,287.506,291.408,99258.333,295.728,295.655,295.613,295.582,295.558,295.540,295.527,295.519,295.516,295.518,295.527,295.544,295.572,295.616,295.679,295.771,295.903,296.088,296.349,296.851,100885.128,100850.142,100815.159,100780.180,100745.206,100710.238,100675.278,100640.324,100605.379,100570.442,100535.515,100500.598,100465.692,100430.799,100395.921,100361.061,100326.222,100291.410,100256.633,100221.904,
2006-06-01 02:40:00,295.692,292.301,0.000,296.386,294.514,287.574,291.417,99266.667,295.725,295.653,295.612,295.581,295.558,295.540,295.528,295.520,295.516,295.518,295.527,295.543,295.571,295.614,295.676,295.767,295.896,296.079,296.337,296.834,100885.271,100850.285,100815.301,100780.322,100745.348,100710.380,100675.420,100640.466,100605.521,100570.585,100535.657,100500.740,100465.834,100430.941,100396.062,100361.201,100326.362,100291.549,100256.771,100222.040,
2006-06-01 02:45:00,295.689,292.287,0.000,296.377,294.512,287.632,291.425,99275.000,295.721,295.650,295.610,295.579,295.556,295.539,295.527,295.519,295.515,295.517,295.525,295.542,295.569,295.611,295.672,295.762,295.889,296.070,296.325,296.816,100885.415,100850.428,100815.444,100780.465,100745.490,100710.523,100675.562,100640.608,100605.663,100570.726,100535.798,100500.881,100465.975,100431.081,100396.202,100361.341,100326.501,100291.687,100256.908,100222.175,
2006-06-01 02:50:00,295.684,292.275,0.000,296.369,294.509,287.691,291.433,99283.333,295.716,295.646,295.606,295.576,295.554,295.537,295.524,295.517,295.513,295.515,295.523,295.539,295.566,295.607,295.668,295.756,295.882,296.060,296.312,296.798,100885.559,100850.572,100815.587,100780.607,100745.633,100710.665,100675.703,100640.750,100605.804,100570.867,100535.939,100501.021,100466.114,100431.220,100396.341,100361.479,100326.638,100291.823,100257.042,100222.308,
2006-06-01 02:55:00,295.679,292.263,0.000,296.359,294.506,287.741,291.442,99291.667,295.710,295.642,295.602,295.573,295.550,295.534,295.521,295.514,295.510,295.512,295.520,295.535,295.562,295.602,295.662,295.749,295.874,296.050,296.299,296.780,100885.703,100850.716,100815.730,100780.750,100745.775,100710.806,100675.845,100640.891,100605.945,100571.007,100536.079,100501.160,100466.253,100431.358,100396.478,100361.615,100326.774,100291.958,100257.176,100222.439,
2006-06-01 03:00:00,295.673,292.251,0.000,296.351,294.504,287.796,291.450,99300.000,295.704,295.636,295.597,295.568,295.546,295.530,295.518,295.510,295.506,295.508,295.516,295.531,295.557,295.597,295.656,295.742,295.865,296.040,296.286,296.762,100885.848,100850.859,100815.874,100780.892,100745.917,100710.948,100675.986,100641.031,100606.084,100571.146,100536.218,100501.299,100466.391,100431.496,100396.615,100361.751,100326.908,100292.091,100257.308,100222.570,
2006-06-01 03:05:00,295.667,292.165,0.000,296.342,294.502,287.847,291.408,99308.333,295.698,295.631,295.592,295.564,295.542,295.525,295.513,295.506,295.502,295.504,295.511,295.526,295.552,295.591,295.649,295.734,295.856,296.029,296.273,296.745,100886.000,100851.011,100816.025,100781.043,100746.067,100711.097,100676.134,100641.179,100606.232,100571.294,100536.364,100501.445,100466.536,100431.640,100396.759,100361.894,100327.050,100292.232,100257.447,100222.707,
2006-06-01 03:10:00,295.661,292.082,0.000,296.334,294.499,287.897,291.367,99316.667,295.692,295.625,295.587,295.559,295.537,295.521,295.509,295.501,295.498,295.499,295.506,295.521,295.546,295.585,295.643,295.727,295.847,296.018,296.260,296.727,100886.156,100851.166,100816.179,100781.197,100746.220,100711.250,100676.286,100641.331,100606.383,100571.444,100536.513,100501.593,100466.684,100431.788,100396.905,100362.040,100327.195,100292.376,100257.589,100222.847,
