Date/Time,EAST:Surface Outside Face Temperature [C](TimeStep),NORTH:Surface Outside Face Temperature [C](TimeStep),SOUTH:Surface Outside Face Temperature [C](TimeStep),WEST:Surface Outside Face Temperature [C](TimeStep),FLOOR:Surface Outside Face Temperature [C](TimeStep),ROOF:Surface Outside Face Temperature [C](TimeStep),EAST_WINDOW:Surface Outside Face Temperature [C](TimeStep),NORTH_WINDOW:Surface Outside Face Temperature [C](TimeStep),SOUTH_WINDOW:Surface Outside Face Temperature [C](TimeStep),WEST_WINDOW:Surface Outside Face Temperature [C](TimeStep) 
 06/21  16:20:00,34.052645643361316,34.42600069707301,34.45638124521284,55.65318041260223,18.0,37.812608390132034,29.814591414402855,29.9824016171749,29.808398367338782,34.84219988595851 
 06/21  16:25:00,33.86155061163573,34.55273455876422,34.21823357108248,55.52324457720507,18.0,37.44355512265598,29.739710957230955,29.97022876619758,29.734397609111,34.76877124680004 
 06/21  16:30:00,33.66842784150222,34.68244839694032,33.987371988635886,55.37972036562091,18.0,37.07897351990065,29.6643770115017,29.964118259997008,29.660093876250812,34.69164736646462 
 06/21  16:35:00,33.480834824993245,34.796698969389595,33.768784575783975,55.01675183810442,18.0,36.66053482729747,29.591404860614944,29.961034913808135,29.588190534152773,34.525667954203186 
 06/21  16:40:00,33.20363228895101,34.789525730536774,33.4656487983132,54.27868733927894,18.0,36.24104968828192,29.476284480128243,29.91023005196996,29.474220677127107,34.23599355882362 
 06/21  16:45:00,32.98662468031978,34.84390790920794,33.22655151231965,53.71959493346993,18.0,35.82674583430486,29.39514862192175,29.903898136828502,29.394243897005254,34.06100462576353 
 06/21  16:50:00,32.782857803481,34.900425542457356,33.003653888293975,53.16591751516946,18.0,35.40895214193456,29.319570694911135,29.900697759838522,29.319882180570858,33.886678780099885 
 06/21  16:55:00,32.58554094609654,34.950522437231626,32.789566947225524,52.602294417820865,18.0,34.99656428998966,29.243436402779025,29.895847449178973,29.244931384627762,33.70857079123937 
 06/21  17:00:00,32.39224301005163,34.9909487139242,32.3051491446206,52.02518858734849,18.0,34.58842180795991,29.16751705380034,29.888753204016496,29.19701235483717,33.52748340409994 
 06/21  17:05:00,32.207064718435674,35.041208147508804,32.040376465896124,51.512067892745236,18.0,34.210978156634575,29.051630110523206,29.84450376978532,29.094476406399565,33.33559938608283 
 06/21  17:10:00,32.025149544037056,35.085855937342004,31.823164663654747,51.0027789758778,18.0,33.841776298917544,28.95447185037176,29.815799830718447,29.0049416106408,33.15514905720693 
 06/21  17:15:00,31.8451294604735,35.12123042866888,31.627934700583815,50.48676267327967,18.0,33.4747380019138,28.872597279591503,29.80116582555712,28.928377588605258,32.98276761011209 
 06/21  17:20:00,31.6662915521535,35.14539483381132,31.445290615897154,49.95963908289759,18.0,33.11849231867563,28.790110585696993,29.779883071902873,28.85110540797797,32.80662123481875 
 06/21  17:25:00,31.488203760041106,35.157048995741185,31.27031966211447,49.41922631858452,18.0,32.764731418247976,28.7082581596286,29.74635266072812,28.774106086599602,32.6276650500414 
 06/21  17:30:00,31.310590115072465,35.15522813857847,31.100185829457605,48.86445722342224,18.0,32.41919690969903,28.626383664257844,29.712047200551524,28.696799056776,32.44542784863927 
 06/21  17:35:00,31.129582030231962,35.130820917121596,30.929759132768968,48.2736237515607,18.0,32.07022137380965,28.543129903330964,29.669201058374142,28.617981525971118,32.25168891685371 
 06/21  17:40:00,30.94749436620727,35.08833111386429,30.760275204236553,47.66143931617533,18.0,31.727913651735697,28.459473372244645,29.61953204675359,28.53845983457586,32.05435971798181 
 06/21  17:45:00,30.76476715466428,35.02812622107844,30.591490758426183,47.03066082621954,18.0,31.388830260260207,28.37583296682527,29.56321488214212,28.458608836771532,31.85389576406942 
 06/21  17:50:00,30.581584442325372,34.95007444655813,30.423130374901895,46.382718288742105,18.0,31.055963599544064,28.292065064164092,29.50000430453781,28.37829570179531,31.650299764234546 
 06/21  17:55:00,30.398045391878043,34.85390200278014,30.254972577453444,45.71864477563438,18.0,30.72658002339822,28.208131521018913,29.42980920903142,28.29747694612763,31.443653981340674 
 06/21  18:00:00,30.215893551072316,34.743790745047306,30.088414806339244,45.049316582869984,18.0,30.404506188616978,28.124824420641175,29.354503330785747,28.216839465378825,31.238274708738004 
 06/21  18:05:00,30.01585164798005,34.5948981964834,29.902077731856192,44.34453463801229,18.0,30.068703859210732,27.8934481858779,29.136204773750478,27.99754142376662,30.89946906781347 
 06/21  18:10:00,29.767091555849397,34.1625485916696,29.669600489296403,43.002316148832875,18.0,29.738321920000402,27.701896104134732,28.853043269127966,27.813112258681542,30.345538982215146 
 06/21  18:15:00,29.54369764236529,33.87921175050518,29.46134784199295,42.08399165354655,18.0,29.412026941555,27.571558117932796,28.703351887779945,27.685451749947674,30.081436659476367 
 06/21  18:20:00,29.324637120918332,33.60953044062227,29.256792706037388,41.23793370856141,18.0,29.090531453328794,27.446003894488513,28.559854353863386,27.559984540224548,29.82302005758521 
 06/21  18:25:00,29.107261537258115,33.3354866484149,29.053415040794604,40.42019734647461,18.0,28.773449760641064,27.32174300246004,28.407782134937634,27.435195487801593,29.56507957112285 
 06/21  18:30:00,28.890773885558534,33.051264515806274,28.85046013741285,39.61678696031533,18.0,28.464192584325264,27.197558595798967,28.243968079964418,27.310105895673814,29.30665702649543 
 06/21  18:35:00,28.673894065604998,32.78458082466192,28.646714011717624,38.88893410735237,18.0,28.164443553761274,27.075856676844694,28.102329442782775,27.18710084782731,29.077820093559808 
 06/21  18:40:00,28.456727985243596,32.51606483886542,28.44227825462029,38.1882551811605,18.0,27.875168387311692,26.954929262159794,27.953746893536504,27.064534543291984,28.850427719433014 
 06/21  18:45:00,28.239189932732824,32.242783199843934,28.23705736439838,37.506846596303845,18.0,27.590286923104063,26.83524986750183,27.80323396822564,26.942946471966934,28.625930838806255 
 06/21  18:50:00,28.021219343556158,31.965438264375464,28.030975272397942,36.84473565428243,18.0,27.312065312045014,26.716901445498195,27.652086496582115,26.822260959443213,28.40593516472552 
 06/21  18:55:00,27.802795893309966,31.657901624626906,27.823989774515805,36.15064284494081,18.0,27.036350883627204,26.60043358333445,27.489774003253615,26.7029456842821,28.168682746568265 
 06/21  19:00:00,27.583999598447207,31.23046888736374,27.616126459018236,35.2625983607426,18.0,26.768053441326526,26.485246329985443,27.27218544829526,26.583096793618438,27.847766313075454 
 06/21  19:05:00,27.343869712160213,30.880402448724734,27.38480394162151,34.319268253454645,18.0,26.470663171766386,26.32352528617423,26.95426550450918,26.40936871980398,27.48116182008198 
 06/21  19:10:00,27.095374590621482,30.361654920201367,27.143925305264826,33.337626326822686,18.0,26.173119591548865,26.15329923119276,26.674548427244247,26.230317153585474,27.112242119061534 
 06/21  19:15:00,26.8270883754215,29.65720146088818,26.882803534550074,32.1549199572014,18.0,25.876288918229303,25.967374496327125,26.337065373715404,26.039673168225022,26.664739916693975 
 06/21  19:20:00,26.566757688031068,28.994824003002087,26.628215324154702,31.10495432299355,18.0,25.574905138545493,25.776617862707496,26.060310723953762,25.846634474921416,26.30964838869511 
 06/21  19:25:00,26.14215477890542,27.6535926276789,26.213101924964363,29.165440059553244,18.0,25.089080235295967,25.448359527554317,25.443216312595666,25.530813662971127,25.527521478976098 
 06/21  19:30:00,25.871930374287064,26.994757305469488,25.94725352999763,28.24764066308298,18.0,24.80711944921087,25.287896336176914,25.28528970810629,25.362692863072198,25.36194444883847 
 06/21  19:35:00,25.643196998675386,26.519871590925405,25.719553648387773,27.60457056965731,18.0,24.520381873355344,25.142790968411703,25.139734289263856,25.20832784837171,25.206926879420735 
 06/21  19:40:00,25.436035412172203,26.14180399492244,25.510902304004013,27.105339835820303,18.0,24.264109786091446,24.996351525189482,24.993031008678713,25.052360298042913,25.05072068924153 
 06/21  19:45:00,25.242185291290095,25.824679900103973,25.313585460581834,26.69562784614891,18.0,24.00367319710644,24.850655532645476,24.84716215578476,24.896943691580873,24.895118864618325 
 06/21  19:50:00,25.05692162197512,25.547923696777787,25.123281395109732,26.344818440764598,18.0,23.75501169113801,24.70451911796988,24.700874740754045,24.740939283299895,24.738980646971925 
 06/21  19:55:00,24.87727944386038,25.298677778449566,24.937326144693717,26.034095827197607,18.0,23.502253430766633,24.558831389634065,24.55507965638469,24.585266178241795,24.583185555637783 
 06/21  20:00:00,24.70130577417257,25.06860099025564,24.753992706119615,25.75144522541707,18.0,23.251938721605935,24.412699063604236,24.408853498204962,24.429056668803753,24.426886588070033 
 06/21  20:05:00,24.53770902175162,24.85989553288715,24.58646584497596,25.49363915016671,18.0,23.049961490175605,24.213595107591573,24.20971967156504,24.230175645293457,24.227958641059615 
 06/21  20:10:00,24.380035225148095,24.665022694960786,24.42595142289694,25.254644527341895,18.0,22.860004433708955,24.048747682815474,24.044498068868393,24.065186698263346,24.063343428937173 
 06/21  20:15:00,24.22637997076518,24.480416213917067,24.27007189039111,25.030373276149813,18.0,22.66999056528055,23.910249063013794,23.90617000852069,23.926880649670295,23.92491257684128 
 06/21  20:20:00,24.075659236146606,24.30367460603362,24.117532892653855,24.817826433705346,18.0,22.497693047125964,23.771895480302703,23.767854846962564,23.78859797325333,23.786665064690794 
 06/21  20:25:00,23.92714707448341,24.133066699651334,23.967486620653293,24.614746664168248,18.0,22.325353543328212,23.635323528536787,23.631350963695354,23.65209037389667,23.650189541305167 
 06/21  20:30:00,23.780331822425257,23.967311486172257,23.819345044321445,24.419407838603394,18.0,22.164104359025032,23.499606078641136,23.495700012614066,23.51641320198621,23.514567462478567 
 06/21  20:35:00,23.634841227299553,23.80544301827989,23.67268592183245,24.230471634488122,18.0,22.002820034443317,23.365474511579066,23.36165803347683,23.382315174632936,23.38051947967847 
 06/21  20:40:00,23.49039796181055,23.64672161795772,23.52719802657083,24.046887483846298,18.0,21.848830037660974,23.232061938831407,23.228332601819147,23.248916331119403,23.247187006291824 
 06/21  20:45:00,23.3467918516259,23.490573740493467,23.38264744813582,23.867821701756792,18.0,21.69480855291249,23.099952910743923,23.096328085544997,23.11681514725285,23.1151458902944 
 06/21  20:50:00,23.203861783528616,23.336550152111,23.238855945269215,23.692606400614647,18.0,21.545717610516526,22.96843593891157,22.964911921424402,22.985289286219313,22.983691546662385 
 06/21  20:55:00,23.06148338679894,23.184296085493887,23.095686427898347,23.520701978636364,18.0,21.396597264311538,22.838012381887097,22.83460220604519,22.854851701769178,22.853318037129725 
 06/21  21:00:00,22.919560286397893,23.03352943925565,22.953032814619814,23.351669094530465,18.0,21.250884653109416,22.7080834964338,22.704782403065906,22.724894401117353,22.723432622809867 
 06/21  21:05:00,22.780713008000294,22.88671594815537,22.81354085522567,23.187861921985622,18.0,21.10760404643714,22.579046343815946,22.575863702207755,22.595903099491295,22.594504773976325 
 06/21  21:10:00,22.643233060580176,22.742027134947836,22.675469951770317,23.027318335331643,18.0,20.967246713233354,22.484186103224374,22.481058663073725,22.500705352147065,22.499379512305552 
 06/21  21:15:00,22.50667974725466,22.59892114887534,22.538369425262406,22.86939208776784,18.0,20.82686322667537,22.40601171892331,22.403083502699133,22.422190369139116,22.420756220029375 
 06/21  21:20:00,22.370818494617687,22.457079263886513,22.40199867102778,22.713675096870514,18.0,20.689040494265797,22.32069238639656,22.317720288901626,22.336427045904372,22.335064506578192 
 06/21  21:25:00,22.235497557941112,22.31627940259456,22.266201602062594,22.559867344838835,18.0,20.551192647568183,22.22975580400214,22.226848394448496,22.24504563416133,22.243789670243984 
 06/21  21:30:00,22.100614495610966,22.176360015556103,22.13087241100919,22.407738665028464,18.0,20.41512648117161,22.14408018832586,22.141291998787437,22.158829407214057,22.15770120232804 
