cur_datetime,canTemp,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[2.6],TempProf_cur[13.9],TempProf_cur[17.5],TempProf_cur[21.5],TempProf_cur[25.5],TempProf_cur[31.2],PresProf_cur[2.6],PresProf_cur[13.9],PresProf_cur[17.5],PresProf_cur[21.5],PresProf_cur[25.5],PresProf_cur[31.2],
2002-06-10 06:55:00,286.952,0.000,293.340,292.291,288.281,285.283,97832.500,287.568,286.323,285.930,285.731,285.593,285.414,98060.155,97931.677,97884.865,97838.022,97791.169,97720.880,
2002-06-10 07:00:00,286.764,0.000,293.316,292.248,288.248,285.250,97840.000,287.274,286.232,285.866,285.676,285.542,285.368,98060.302,97931.750,97884.926,97838.073,97791.211,97720.910,
2002-06-10 07:05:00,286.898,0.000,293.310,292.222,288.221,285.292,97845.833,287.515,286.270,285.876,285.677,285.539,285.361,98060.257,97931.755,97884.934,97838.082,97791.220,97720.917,
2002-06-10 07:10:00,286.742,0.000,293.309,292.184,288.212,285.333,97851.667,287.258,286.205,285.838,285.647,285.514,285.341,98060.352,97931.790,97884.961,97838.104,97791.237,97720.929,
2002-06-10 07:15:00,286.891,0.000,293.345,292.166,288.232,285.375,97857.500,287.513,286.258,285.861,285.660,285.521,285.341,98060.289,97931.783,97884.961,97838.106,97791.241,97720.934,
2002-06-10 07:20:00,286.746,0.000,293.379,292.137,288.265,285.417,97863.333,287.269,286.201,285.829,285.634,285.498,285.322,98060.377,97931.816,97884.986,97838.127,97791.258,97720.945,
2002-06-10 07:25:00,286.904,0.000,293.440,292.125,288.322,285.458,97869.167,287.535,286.262,285.858,285.651,285.508,285.324,98060.307,97931.807,97884.984,97838.128,97791.261,97720.950,
2002-06-10 07:30:00,286.762,0.000,293.496,292.105,288.384,285.500,97875.000,287.295,286.208,285.827,285.626,285.487,285.305,98060.393,97931.839,97885.009,97838.149,97791.279,97720.963,
2002-06-10 07:35:00,286.927,0.000,293.572,292.099,288.466,285.542,97880.833,287.569,286.274,285.860,285.646,285.498,285.307,98060.319,97931.828,97885.007,97838.151,97791.282,97720.968,
2002-06-10 07:40:00,286.785,0.000,293.644,292.086,288.550,285.583,97886.667,287.328,286.221,285.830,285.621,285.477,285.288,98060.405,97931.861,97885.033,97838.172,97791.300,97720.981,
2002-06-10 07:45:00,286.958,0.000,293.730,292.084,288.649,285.625,97892.500,287.614,286.292,285.866,285.643,285.490,285.291,98060.326,97931.849,97885.029,97838.174,97791.304,97720.987,
2002-06-10 07:50:00,286.813,0.000,293.811,292.076,288.748,285.667,97898.333,287.366,286.237,285.836,285.618,285.467,285.271,98060.415,97931.883,97885.056,97838.196,97791.323,97721.001,
2002-06-10 07:55:00,286.995,0.000,293.905,292.077,288.860,285.708,97904.167,287.664,286.314,285.875,285.642,285.482,285.275,98060.332,97931.869,97885.052,97838.197,97791.327,97721.007,
2002-06-10 08:00:00,286.847,0.000,293.993,292.073,288.971,285.750,97910.000,287.412,286.259,285.845,285.617,285.459,285.254,98060.422,97931.904,97885.080,97838.221,97791.347,97721.021,
2002-06-10 08:05:00,287.037,0.000,294.092,292.078,289.093,285.808,97913.333,287.725,286.339,285.885,285.641,285.473,285.256,98060.337,97931.893,97885.079,97838.225,97791.354,97721.030,
2002-06-10 08:10:00,286.925,0.000,294.206,292.082,289.233,285.867,97916.667,287.511,286.315,285.878,285.633,285.463,285.243,98060.397,97931.912,97885.096,97838.241,97791.368,97721.042,
